pot_kVA,interval_h,energy_kVAh,cum_time_h,cum_time_pct,cum_energy_kVAh,cum_energy_pct
4.0640058,0.08333333333333333,0.33866715000000003,30.833333333333165,34.676663542642736,161.69110603333343,47.12201878790797
4.0623005999999995,0.08333333333333333,0.33852504999999994,30.916666666666497,34.77038425492015,162.0296310833334,47.22067593830799
4.0529759,0.08333333333333333,0.33774799166666664,30.99999999999983,34.86410496719756,162.3673790750001,47.3191066287729
4.0528522,0.08333333333333333,0.3377376833333333,31.08333333333316,34.95782567947497,162.70511675833342,47.41753431505601
4.0516416,0.08333333333333333,0.33763679999999996,31.166666666666494,35.05154639175239,163.04275355833343,47.51593260067234
4.050684799999999,0.08333333333333333,0.33755706666666657,31.249999999999826,35.1452671040298,163.3803106250001,47.61430764941609
4.046093,0.08333333333333333,0.33717441666666664,31.333333333333158,35.23898781630721,163.71748504166678,47.71257118157161
4.0432393,0.08333333333333333,0.3369366083333333,31.41666666666649,35.332708528584625,164.0544216500001,47.81076540868602
4.0354893999999994,0.08333333333333333,0.3362907833333333,31.499999999999822,35.426429240862035,164.39071243333345,47.90877142150386
4.0344549999999995,0.08333333333333333,0.33620458333333325,31.583333333333155,35.520149953139445,164.7269170166668,48.00675231285325
4.033031599999999,0.08333333333333333,0.33608596666666657,31.666666666666487,35.613870665416854,165.06300298333346,48.10469863546888
4.0311832999999995,0.08333333333333333,0.3359319416666666,31.74999999999982,35.70759137769427,165.39893492500013,48.20260007021701
4.030543199999999,0.08333333333333333,0.3358785999999999,31.83333333333315,35.80131208997168,165.73481352500013,48.30048595947794
4.0285665,0.08333333333333333,0.335713875,31.916666666666483,35.89503280224909,166.07052740000015,48.398323842545246
4.0206811,0.08333333333333333,0.3350567583333333,31.999999999999815,35.98875351452651,166.40558415833348,48.49597022055904
4.0136441000000005,0.08333333333333333,0.33447034166666667,32.08333333333315,36.082474226803924,166.74005450000016,48.59344569778637
4.0128315,0.08333333333333333,0.33440262499999995,32.16666666666649,36.17619493908134,167.07445712500015,48.690901440186494
4.0074952,0.08333333333333333,0.33395793333333335,32.24999999999982,36.26991565135875,167.40841505833347,48.78822758504977
3.9999867,0.08333333333333333,0.333332225,32.33333333333316,36.36363636363617,167.74174728333347,48.88537137826389
3.9976152,0.08333333333333333,0.33313459999999995,32.416666666666494,36.457357075913585,168.07488188333346,48.98245757716012
3.9856083,0.08333333333333333,0.332134025,32.49999999999983,36.551077788191,168.40701590833345,49.07925217613408
3.9840251999999996,0.08333333333333333,0.33200209999999997,32.583333333333165,36.64479850046842,168.73901800833346,49.176008327895445
3.9818466,0.08333333333333333,0.33182055,32.6666666666665,36.738519212745835,169.07083855833346,49.27271157011392
3.9816080000000005,0.08333333333333333,0.3318006666666667,32.74999999999984,36.83223992502325,169.40263922500014,49.36940901768586
3.9718875000000002,0.08333333333333333,0.330990625,32.83333333333317,36.92596063730066,169.73362985000014,49.46587039291238
3.9585054,0.08333333333333333,0.32987544999999996,32.91666666666651,37.01968134957808,170.06350530000014,49.56200677006948
3.9567897000000003,0.08333333333333333,0.329732475,32.999999999999844,37.1134020618555,170.39323777500013,49.65810147968653
3.9562711999999998,0.08333333333333333,0.32968926666666665,33.08333333333318,37.20712277413292,170.7229270416668,49.754183596997514
3.9513121,0.08333333333333333,0.3292760083333333,33.166666666666515,37.30084348641033,171.05220305000012,49.85014527746181
3.9508834999999998,0.08333333333333333,0.32924029166666663,33.24999999999985,37.394564198687746,171.3814433416668,49.94609654893407
3.9484797000000005,0.08333333333333333,0.32903997500000004,33.33333333333319,37.48828491096516,171.7104833166668,50.04198944164968
3.9441504,0.08333333333333333,0.32867919999999995,33.41666666666652,37.58200562324257,172.0391625166668,50.13777719285971
3.9424848,0.08333333333333333,0.32854039999999995,33.49999999999986,37.67572633552,172.36770291666681,50.23352449325974
3.9352723000000003,0.08333333333333333,0.3279393583333333,33.583333333333194,37.769447047797414,172.69564227500015,50.32909663067522
3.9273800999999997,0.08333333333333333,0.32728167499999994,33.66666666666653,37.86316776007483,173.02292395000015,50.424477097892186
3.9250286,0.08333333333333333,0.32708571666666664,33.749999999999865,37.95688847235224,173.3500096666668,50.51980045651183
3.9243963000000006,0.08333333333333333,0.32703302500000003,33.8333333333332,38.05060918462966,173.6770426916668,50.61510845907531
3.9242540000000004,0.08333333333333333,0.3270211666666667,33.916666666666536,38.144329896907074,174.00406385833347,50.710413005736854
3.9202215999999996,0.08333333333333333,0.32668513333333327,33.99999999999987,38.23805060918449,174.3307489916668,50.805619621414834
3.9172879999999997,0.08333333333333333,0.3264406666666666,34.08333333333321,38.33177132146191,174.65718965833346,50.900754991597985
3.917227,0.08333333333333333,0.32643558333333333,34.16666666666654,38.425492033739324,174.9836252416668,50.99588888033336
3.9129001,0.08333333333333333,0.3260750083333333,34.24999999999988,38.51921274601674,175.30970025000013,51.090917685849625
3.9104554,0.08333333333333333,0.3258712833333333,34.333333333333215,38.61293345829415,175.63557153333346,51.18588711931065
3.9093739,0.08333333333333333,0.3257811583333333,34.41666666666655,38.70665417057157,175.9613526916668,51.28083028743126
