ELEMENTO		Valor		Fecha de Recoleccion	
PLA_B01			9		07/07/2004 16:00
PLA_B01			9		07/07/2004 17:00
PLA_B01			8		07/07/2004 18:00
PLA_B01			10		07/07/2004 19:00
PLA_B01			12		07/07/2004 20:00
PLA_B01			12		07/07/2004 21:00
PLA_B01			12		07/07/2004 22:00
PLA_B01			11		07/07/2004 23:00
PLA_B01			9		08/07/2004 00:00
PLA_B01			8		08/07/2004 01:00
PLA_B01			8		08/07/2004 02:00
PLA_B01			8		08/07/2004 03:00
PLA_B01			8		08/07/2004 04:00
PLA_B01			8		08/07/2004 05:00
PLA_B01			8		08/07/2004 06:00
PLA_B01			9		08/07/2004 07:00
PLA_B01			10		08/07/2004 08:00
PLA_B01			11		08/07/2004 09:00
PLA_B01			10		08/07/2004 10:00
PLA_B01			10		08/07/2004 11:00
PLA_B01			11		08/07/2004 12:00
PLA_B01			10		08/07/2004 13:00
PLA_B01			9		08/07/2004 14:00
PLA_B01			9		08/07/2004 15:00
PLA_B01			9		08/07/2004 17:00
PLA_B01			9		08/07/2004 18:00
PLA_B01			9		08/07/2004 19:00
PLA_B01			11		08/07/2004 20:00
PLA_B01			11		08/07/2004 21:00
PLA_B01			11		08/07/2004 22:00
PLA_B01			10		08/07/2004 23:00
PLA_B01			9		09/07/2004 00:00
PLA_B01			8		09/07/2004 01:00
PLA_B01			9		09/07/2004 07:00
PLA_B01			9		09/07/2004 08:00
PLA_B01			10		09/07/2004 09:00
PLA_B01			10		09/07/2004 10:00
PLA_B01			10		09/07/2004 11:00
PLA_B01			11		09/07/2004 12:00
PLA_B01			10		09/07/2004 13:00
PLA_B01			10		09/07/2004 14:00
PLA_B01			9		09/07/2004 15:00
PLA_B01			10		09/07/2004 16:00
PLA_B01			8		09/07/2004 17:00
PLA_B01			8		09/07/2004 18:00
PLA_B01			9		09/07/2004 19:00
PLA_B01			12		09/07/2004 20:00
PLA_B01			12		09/07/2004 21:00
PLA_B01			11		09/07/2004 22:00
PLA_B01			10		09/07/2004 23:00
PLA_B01			9		10/07/2004 00:00
PLA_B01			9		10/07/2004 01:00
PLA_B01			8		10/07/2004 02:00
PLA_B01			8		10/07/2004 03:00
PLA_B01			8		10/07/2004 04:00
PLA_B01			8		10/07/2004 05:00
PLA_B01			8		10/07/2004 06:00
PLA_B01			8		10/07/2004 07:00
PLA_B01			8		10/07/2004 08:00
PLA_B01			9		10/07/2004 09:00
PLA_B01			9		10/07/2004 10:00
PLA_B01			9		10/07/2004 11:00
PLA_B01			9		10/07/2004 12:00
PLA_B01			9		10/07/2004 13:00
PLA_B01			10		10/07/2004 14:00
PLA_B01			9		10/07/2004 15:00
PLA_B01			8		10/07/2004 16:00
PLA_B01			8		10/07/2004 17:00
PLA_B01			8		10/07/2004 18:00
PLA_B01			8		10/07/2004 19:00
PLA_B01			10		10/07/2004 20:00
PLA_B01			11		10/07/2004 21:00
PLA_B01			10		10/07/2004 22:00
PLA_B01			9		10/07/2004 23:00
PLA_B01			9		11/07/2004 00:00
PLA_B01			8		11/07/2004 01:00
PLA_B01			8		11/07/2004 02:00
PLA_B01			8		11/07/2004 03:00
PLA_B01			8		11/07/2004 04:00
PLA_B01			8		11/07/2004 05:00
PLA_B01			8		11/07/2004 06:00
PLA_B01			8		11/07/2004 07:00
PLA_B01			9		11/07/2004 08:00
PLA_B01			9		11/07/2004 09:00
PLA_B01			9		11/07/2004 10:00
PLA_B01			10		11/07/2004 11:00
PLA_B01			10		11/07/2004 12:00
PLA_B01			9		11/07/2004 13:00
PLA_B01			10		11/07/2004 14:00
PLA_B01			10		11/07/2004 15:00
PLA_B01			9		11/07/2004 16:00
PLA_B01			9		11/07/2004 17:00
PLA_B01			8		11/07/2004 18:00
PLA_B01			9		11/07/2004 19:00
PLA_B01			11		11/07/2004 20:00
PLA_B01			11		11/07/2004 21:00
PLA_B01			11		11/07/2004 22:00
PLA_B01			10		11/07/2004 23:00
PLA_B01			9		12/07/2004 00:00
PLA_B01			8		12/07/2004 01:00
PLA_B01			8		12/07/2004 02:00
PLA_B01			8		12/07/2004 03:00
PLA_B01			8		12/07/2004 04:00
PLA_B01			8		12/07/2004 05:00
PLA_B01			8		12/07/2004 06:00
PLA_B01			8		12/07/2004 07:00
PLA_B01			9		12/07/2004 08:00
PLA_B01			9		12/07/2004 09:00
PLA_B01			9		12/07/2004 10:00
PLA_B01			9		12/07/2004 11:00
PLA_B01			10		12/07/2004 12:00
PLA_B01			10		12/07/2004 13:00
PLA_B01			10		12/07/2004 14:00
PLA_B01			9		12/07/2004 15:00
PLA_B01			9		12/07/2004 16:00
PLA_B01			10		12/07/2004 17:00
PLA_B01			9		12/07/2004 18:00
PLA_B01			9		12/07/2004 19:00
PLA_B01			12		12/07/2004 20:00
PLA_B01			12		12/07/2004 21:00
PLA_B01			11		12/07/2004 22:00
PLA_B01			10		12/07/2004 23:00
PLA_B01			9		13/07/2004 00:00
PLA_B01			8		13/07/2004 01:00
PLA_B01			8		13/07/2004 02:00
PLA_B01			8		13/07/2004 03:00
PLA_B01			8		13/07/2004 04:00
PLA_B01			8		13/07/2004 05:00
PLA_B01			8		13/07/2004 06:00
PLA_B01			9		13/07/2004 07:00
PLA_B01			10		13/07/2004 08:00
PLA_B01			10		13/07/2004 09:00
PLA_B01			10		13/07/2004 10:00
PLA_B01			10		13/07/2004 11:00
PLA_B01			11		13/07/2004 12:00
PLA_B01			10		13/07/2004 13:00
PLA_B01			10		13/07/2004 14:00
PLA_B01			9		13/07/2004 15:00
PLA_B01			9		13/07/2004 16:00
PLA_B01			9		13/07/2004 17:00
PLA_B01			9		13/07/2004 18:00
PLA_B01			9		13/07/2004 19:00
PLA_B01			12		13/07/2004 20:00
PLA_B01			12		13/07/2004 21:00
PLA_B01			11		13/07/2004 22:00
PLA_B01			9		13/07/2004 23:00
PLA_B01			9		14/07/2004 00:00
PLA_B01			8		15/07/2004 01:00
PLA_B01			9		15/07/2004 08:00
PLA_B01			11		15/07/2004 09:00
PLA_B01			10		15/07/2004 10:00
PLA_B01			10		15/07/2004 11:00
PLA_B01			10		15/07/2004 12:00
PLA_B01			10		15/07/2004 13:00
PLA_B01			10		15/07/2004 14:00
PLA_B01			9		15/07/2004 15:00
PLA_B01			9		15/07/2004 16:00
PLA_B01			9		15/07/2004 17:00
PLA_B01			9		15/07/2004 18:00
PLA_B01			9		15/07/2004 19:00
PLA_B01			12		15/07/2004 20:00
PLA_B01			12		15/07/2004 21:00
PLA_B01			11		15/07/2004 22:00
PLA_B01			10		15/07/2004 23:00
PLA_B01			10		16/07/2004 00:00
PLA_B01			8		16/07/2004 01:00
PLA_B01			8		16/07/2004 02:00
PLA_B01			8		16/07/2004 03:00
PLA_B01			8		16/07/2004 04:00
PLA_B01			8		16/07/2004 05:00
PLA_B01			8		16/07/2004 06:00
PLA_B01			9		16/07/2004 07:00
PLA_B01			9		16/07/2004 08:00
PLA_B01			10		16/07/2004 09:00
PLA_B01			10		16/07/2004 10:00
PLA_B01			10		16/07/2004 11:00
PLA_B01			10		16/07/2004 12:00
PLA_B01			10		16/07/2004 13:00
PLA_B01			9		16/07/2004 14:00
PLA_B01			9		16/07/2004 15:00
PLA_B01			10		16/07/2004 16:00
PLA_B01			9		16/07/2004 17:00
PLA_B01			10		16/07/2004 18:00
PLA_B01			9		16/07/2004 19:00
PLA_B01			11		16/07/2004 20:00
PLA_B01			24		16/07/2004 21:00
PLA_B01			27		16/07/2004 22:00
PLA_B01			9		16/07/2004 23:00
PLA_B01			8		17/07/2004 00:00
PLA_B01			8		17/07/2004 01:00
PLA_B01			8		17/07/2004 02:00
PLA_B01			8		17/07/2004 03:00
PLA_B01			8		17/07/2004 04:00
PLA_B01			8		17/07/2004 05:00
PLA_B01			8		17/07/2004 06:00
PLA_B01			8		17/07/2004 07:00
PLA_B01			9		17/07/2004 08:00
PLA_B01			9		17/07/2004 09:00
PLA_B01			9		17/07/2004 10:00
PLA_B01			9		17/07/2004 11:00
PLA_B01			9		17/07/2004 12:00
PLA_B01			9		17/07/2004 13:00
PLA_B01			8		17/07/2004 14:00
PLA_B01			8		17/07/2004 15:00
PLA_B01			8		17/07/2004 16:00
PLA_B01			8		17/07/2004 17:00
PLA_B01			8		17/07/2004 18:00
PLA_B01			8		17/07/2004 19:00
PLA_B01			10		17/07/2004 20:00
PLA_B01			11		17/07/2004 21:00
PLA_B01			10		17/07/2004 22:00
PLA_B01			10		17/07/2004 23:00
PLA_B01			8		18/07/2004 00:00
PLA_B01			8		18/07/2004 01:00
PLA_B01			8		18/07/2004 05:00
PLA_B01			7		18/07/2004 06:00
PLA_B01			8		18/07/2004 07:00
PLA_B01			8		18/07/2004 08:00
PLA_B01			9		18/07/2004 09:00
PLA_B01			9		18/07/2004 10:00
PLA_B01			9		18/07/2004 11:00
PLA_B01			9		18/07/2004 12:00
PLA_B01			9		18/07/2004 13:00
PLA_B01			9		18/07/2004 14:00
PLA_B01			8		18/07/2004 15:00
PLA_B01			8		18/07/2004 16:00
PLA_B01			8		18/07/2004 17:00
PLA_B01			8		18/07/2004 18:00
PLA_B01			9		18/07/2004 19:00
PLA_B01			11		18/07/2004 20:00
PLA_B01			11		18/07/2004 21:00
PLA_B01			11		18/07/2004 22:00
PLA_B01			9		18/07/2004 23:00
PLA_B01			8		19/07/2004 00:00
PLA_B01			8		19/07/2004 01:00
PLA_B01			7		19/07/2004 02:00
PLA_B01			7		19/07/2004 03:00
PLA_B01			7		19/07/2004 04:00
PLA_B01			7		19/07/2004 05:00
PLA_B01			7		19/07/2004 06:00
PLA_B01			8		19/07/2004 07:00
PLA_B01			9		19/07/2004 08:00
PLA_B01			9		19/07/2004 09:00
PLA_B01			9		19/07/2004 10:00
PLA_B01			10		19/07/2004 11:00
PLA_B01			11		19/07/2004 12:00
PLA_B01			11		19/07/2004 13:00
PLA_B01			11		19/07/2004 14:00
PLA_B01			10		19/07/2004 15:00
PLA_B01			10		19/07/2004 16:00
PLA_B01			9		19/07/2004 17:00
PLA_B01			9		19/07/2004 18:00
PLA_B01			10		19/07/2004 19:00
PLA_B01			12		19/07/2004 20:00
PLA_B01			12		19/07/2004 21:00
PLA_B01			12		19/07/2004 22:00
PLA_B01			10		19/07/2004 23:00
PLA_B01			9		20/07/2004 00:00
PLA_B01			8		20/07/2004 01:00
PLA_B01			8		20/07/2004 02:00
PLA_B01			8		20/07/2004 03:00
PLA_B01			8		20/07/2004 04:00
PLA_B01			8		20/07/2004 05:00
PLA_B01			8		20/07/2004 06:00
PLA_B01			8		20/07/2004 07:00
PLA_B01			10		20/07/2004 08:00
PLA_B01			10		20/07/2004 09:00
PLA_B01			10		20/07/2004 10:00
PLA_B01			10		20/07/2004 11:00
PLA_B01			10		20/07/2004 12:00
PLA_B01			10		20/07/2004 13:00
PLA_B01			9		20/07/2004 14:00
PLA_B01			9		20/07/2004 15:00
PLA_B01			8		20/07/2004 16:00
PLA_B01			9		20/07/2004 17:00
PLA_B01			9		20/07/2004 18:00
PLA_B01			9		20/07/2004 19:00
PLA_B01			12		20/07/2004 20:00
PLA_B01			11		20/07/2004 21:00
PLA_B01			12		20/07/2004 22:00
PLA_B01			10		20/07/2004 23:00
PLA_B01			9		21/07/2004 00:00
PLA_B01			8		22/07/2004 01:00
PLA_B01			10		22/07/2004 09:00
PLA_B01			10		22/07/2004 10:00
PLA_B01			11		22/07/2004 11:00
PLA_B01			10		22/07/2004 12:00
PLA_B01			9		22/07/2004 14:00
PLA_B01			9		22/07/2004 15:00
PLA_B01			9		22/07/2004 16:00
PLA_B01			9		22/07/2004 17:00
PLA_B01			9		22/07/2004 18:00
PLA_B01			10		22/07/2004 19:00
PLA_B01			12		22/07/2004 20:00
PLA_B01			11		22/07/2004 21:00
PLA_B01			11		22/07/2004 22:00
PLA_B01			10		22/07/2004 23:00
PLA_B01			10		23/07/2004 00:00
PLA_B01			9		23/07/2004 01:00
PLA_B01			8		23/07/2004 02:00
PLA_B01			8		23/07/2004 03:00
PLA_B01			8		23/07/2004 04:00
PLA_B01			8		23/07/2004 05:00
PLA_B01			8		23/07/2004 06:00
PLA_B01			8		23/07/2004 07:00
PLA_B01			9		23/07/2004 08:00
PLA_B01			10		23/07/2004 09:00
PLA_B01			10		23/07/2004 10:00
PLA_B01			11		23/07/2004 11:00
PLA_B01			11		23/07/2004 12:00
PLA_B01			10		23/07/2004 13:00
PLA_B01			10		23/07/2004 14:00
PLA_B01			9		23/07/2004 15:00
PLA_B01			8		23/07/2004 16:00
PLA_B01			7		23/07/2004 17:00
PLA_B01			8		23/07/2004 18:00
PLA_B01			8		23/07/2004 19:00
PLA_B01			11		23/07/2004 20:00
PLA_B01			11		23/07/2004 21:00
PLA_B01			11		23/07/2004 22:00
PLA_B01			10		23/07/2004 23:00
PLA_B01			9		24/07/2004 00:00
PLA_B01			8		24/07/2004 01:00
PLA_B01			8		24/07/2004 02:00
PLA_B01			8		24/07/2004 03:00
PLA_B01			8		24/07/2004 04:00
PLA_B01			8		24/07/2004 05:00
PLA_B01			7		24/07/2004 06:00
PLA_B01			7		24/07/2004 07:00
PLA_B01			8		24/07/2004 08:00
PLA_B01			9		24/07/2004 09:00
PLA_B01			9		24/07/2004 10:00
PLA_B01			9		24/07/2004 11:00
PLA_B01			8		24/07/2004 12:00
PLA_B01			9		24/07/2004 13:00
PLA_B01			9		24/07/2004 14:00
PLA_B01			8		24/07/2004 15:00
PLA_B01			8		24/07/2004 16:00
PLA_B01			8		24/07/2004 17:00
PLA_B01			8		24/07/2004 18:00
PLA_B01			9		24/07/2004 19:00
PLA_B01			11		24/07/2004 20:00
PLA_B01			12		24/07/2004 21:00
PLA_B01			11		24/07/2004 22:00
PLA_B01			10		24/07/2004 23:00
PLA_B01			10		25/07/2004 00:00
PLA_B01			9		25/07/2004 01:00
PLA_B01			9		25/07/2004 02:00
PLA_B01			8		25/07/2004 03:00
PLA_B01			8		25/07/2004 04:00
PLA_B01			8		25/07/2004 05:00
PLA_B01			8		25/07/2004 06:00
PLA_B01			7		25/07/2004 07:00
PLA_B01			7		25/07/2004 08:00
PLA_B01			8		25/07/2004 09:00
PLA_B01			9		25/07/2004 10:00
PLA_B01			9		25/07/2004 11:00
PLA_B01			9		25/07/2004 12:00
PLA_B01			10		25/07/2004 13:00
PLA_B01			9		25/07/2004 14:00
PLA_B01			8		25/07/2004 15:00
PLA_B01			8		25/07/2004 16:00
PLA_B01			9		25/07/2004 17:00
PLA_B01			8		25/07/2004 18:00
PLA_B01			9		25/07/2004 19:00
PLA_B01			11		25/07/2004 20:00
PLA_B01			11		25/07/2004 21:00
PLA_B01			11		25/07/2004 22:00
PLA_B01			10		25/07/2004 23:00
PLA_B01			9		26/07/2004 00:00
PLA_B01			8		26/07/2004 01:00
PLA_B01			7		26/07/2004 02:00
PLA_B01			8		26/07/2004 03:00
PLA_B01			8		26/07/2004 04:00
PLA_B01			8		26/07/2004 05:00
PLA_B01			8		26/07/2004 06:00
PLA_B01			8		26/07/2004 07:00
PLA_B01			9		26/07/2004 08:00
PLA_B01			10		26/07/2004 09:00
PLA_B01			9		26/07/2004 10:00
PLA_B01			9		27/07/2004 07:00
PLA_B01			9		27/07/2004 08:00
PLA_B01			10		27/07/2004 09:00
PLA_B01			11		27/07/2004 10:00
PLA_B01			10		27/07/2004 11:00
PLA_B01			10		27/07/2004 12:00
PLA_B01			10		27/07/2004 13:00
PLA_B01			10		27/07/2004 14:00
PLA_B01			10		27/07/2004 15:00
PLA_B01			9		27/07/2004 16:00
PLA_B01			9		27/07/2004 17:00
PLA_B01			9		27/07/2004 18:00
PLA_B01			9		27/07/2004 19:00
PLA_B01			13		27/07/2004 20:00
PLA_B01			12		27/07/2004 21:00
PLA_B01			11		27/07/2004 22:00
PLA_B01			10		27/07/2004 23:00
PLA_B01			9		28/07/2004 00:00
PLA_B01			8		28/07/2004 01:00
PLA_B01			8		28/07/2004 02:00
PLA_B01			8		28/07/2004 03:00
PLA_B01			8		28/07/2004 04:00
PLA_B01			8		28/07/2004 05:00
PLA_B01			8		28/07/2004 06:00
PLA_B01			9		28/07/2004 07:00
PLA_B01			10		28/07/2004 08:00
PLA_B01			9		28/07/2004 09:00
PLA_B01			10		28/07/2004 10:00
PLA_B01			9		28/07/2004 11:00
PLA_B01			9		28/07/2004 12:00
PLA_B01			9		28/07/2004 13:00
PLA_B01			10		28/07/2004 15:00
PLA_B01			9		28/07/2004 16:00
PLA_B01			8		28/07/2004 17:00
PLA_B01			8		28/07/2004 18:00
PLA_B01			9		28/07/2004 19:00
PLA_B01			12		28/07/2004 20:00
PLA_B01			11		28/07/2004 21:00
PLA_B01			11		28/07/2004 22:00
PLA_B01			10		28/07/2004 23:00
PLA_B01			9		29/07/2004 00:00
PLA_B01			8		29/07/2004 01:00
PLA_B01			8		29/07/2004 02:00
PLA_B01			7		29/07/2004 03:00
PLA_B01			7		29/07/2004 04:00
PLA_B01			7		29/07/2004 05:00
PLA_B01			8		29/07/2004 06:00
PLA_B01			8		29/07/2004 07:00
PLA_B01			9		29/07/2004 08:00
PLA_B01			10		29/07/2004 09:00
PLA_B01			9		29/07/2004 10:00
PLA_B01			10		29/07/2004 11:00
PLA_B01			10		29/07/2004 12:00
PLA_B01			8		29/07/2004 13:00
PLA_B01			9		29/07/2004 14:00
PLA_B01			9		29/07/2004 15:00
PLA_B01			9		29/07/2004 16:00
PLA_B01			8		29/07/2004 17:00
PLA_B01			8		29/07/2004 18:00
PLA_B01			9		29/07/2004 19:00
PLA_B01			11		29/07/2004 20:00
PLA_B01			11		29/07/2004 21:00
PLA_B01			11		29/07/2004 22:00
PLA_B01			10		29/07/2004 23:00
PLA_B01			9		30/07/2004 00:00
PLA_B01			8		30/07/2004 01:00
PLA_B01			8		30/07/2004 02:00
PLA_B01			8		30/07/2004 03:00
PLA_B01			8		30/07/2004 04:00
PLA_B01			8		30/07/2004 05:00
PLA_B01			8		30/07/2004 06:00
PLA_B01			9		30/07/2004 07:00
PLA_B01			9		30/07/2004 08:00
PLA_B01			9		30/07/2004 09:00
PLA_B01			10		30/07/2004 10:00
PLA_B01			11		30/07/2004 11:00
PLA_B01			11		30/07/2004 12:00
PLA_B01			10		30/07/2004 13:00
PLA_B01			9		30/07/2004 14:00
PLA_B01			9		30/07/2004 15:00
PLA_B01			9		30/07/2004 16:00
PLA_B01			9		30/07/2004 17:00
PLA_B01			9		30/07/2004 18:00
PLA_B01			10		30/07/2004 19:00
PLA_B01			11		30/07/2004 20:00
PLA_B01			11		30/07/2004 21:00
PLA_B01			10		30/07/2004 22:00
PLA_B01			10		30/07/2004 23:00
PLA_B01			9		31/07/2004 00:00
PLA_B01			8		31/07/2004 01:00
PLA_B01			8		31/07/2004 02:00
PLA_B01			8		31/07/2004 03:00
PLA_B01			8		31/07/2004 04:00
PLA_B01			8		31/07/2004 05:00
PLA_B01			8		31/07/2004 06:00
PLA_B01			8		31/07/2004 07:00
PLA_B01			8		31/07/2004 08:00
PLA_B01			9		31/07/2004 09:00
PLA_B01			9		31/07/2004 10:00
PLA_B01			9		31/07/2004 11:00
PLA_B01			8		31/07/2004 12:00
PLA_B01			8		31/07/2004 13:00
PLA_B01			8		31/07/2004 14:00
PLA_B01			9		31/07/2004 15:00
PLA_B01			8		31/07/2004 16:00
PLA_B01			8		31/07/2004 17:00
PLA_B01			8		31/07/2004 18:00
PLA_B01			8		31/07/2004 19:00
PLA_B01			11		31/07/2004 20:00
PLA_B01			11		31/07/2004 21:00
PLA_B01			11		31/07/2004 22:00
PLA_B01			10		31/07/2004 23:00
