ELEMENTO		Valor		Fecha de Recoleccion	
--------		-----		--------------------	
PLA_B02			10		01/07/2004 01:00
PLA_B02			10		01/07/2004 02:00
PLA_B02			9		01/07/2004 03:00
PLA_B02			9		01/07/2004 04:00
PLA_B02			10		01/07/2004 05:00
PLA_B02			11		01/07/2004 06:00
PLA_B02			12		01/07/2004 07:00
PLA_B02			12		01/07/2004 09:00
PLA_B02			12		01/07/2004 10:00
PLA_B02			13		01/07/2004 11:00
PLA_B02			13		01/07/2004 12:00
PLA_B02			12		01/07/2004 13:00
PLA_B02			12		01/07/2004 14:00
PLA_B02			12		01/07/2004 15:00
PLA_B02			12		01/07/2004 16:00
PLA_B02			12		01/07/2004 17:00
PLA_B02			12		01/07/2004 18:00
PLA_B02			13		01/07/2004 19:00
PLA_B02			17		01/07/2004 20:00
PLA_B02			18		01/07/2004 21:00
PLA_B02			16		01/07/2004 22:00
PLA_B02			13		01/07/2004 23:00
PLA_B02			11		02/07/2004 00:00
PLA_B02			10		02/07/2004 01:00
PLA_B02			10		02/07/2004 02:00
PLA_B02			9		02/07/2004 03:00
PLA_B02			9		02/07/2004 04:00
PLA_B02			10		02/07/2004 05:00
PLA_B02			11		02/07/2004 06:00
PLA_B02			11		02/07/2004 07:00
PLA_B02			12		02/07/2004 08:00
PLA_B02			13		02/07/2004 09:00
PLA_B02			12		02/07/2004 10:00
PLA_B02			12		02/07/2004 11:00
PLA_B02			11		02/07/2004 12:00
PLA_B02			11		02/07/2004 13:00
PLA_B02			12		02/07/2004 14:00
PLA_B02			12		02/07/2004 15:00
PLA_B02			12		02/07/2004 16:00
PLA_B02			11		02/07/2004 17:00
PLA_B02			11		02/07/2004 18:00
PLA_B02			13		02/07/2004 19:00
PLA_B02			17		02/07/2004 20:00
PLA_B02			17		02/07/2004 21:00
PLA_B02			15		02/07/2004 22:00
PLA_B02			13		02/07/2004 23:00
PLA_B02			11		03/07/2004 00:00
PLA_B02			10		03/07/2004 01:00
PLA_B02			10		03/07/2004 02:00
PLA_B02			10		03/07/2004 03:00
PLA_B02			10		03/07/2004 04:00
PLA_B02			9		03/07/2004 05:00
PLA_B02			10		03/07/2004 06:00
PLA_B02			10		03/07/2004 07:00
PLA_B02			10		03/07/2004 08:00
PLA_B02			12		03/07/2004 09:00
PLA_B02			11		03/07/2004 10:00
PLA_B02			11		03/07/2004 11:00
PLA_B02			12		03/07/2004 12:00
PLA_B02			11		03/07/2004 13:00
PLA_B02			11		03/07/2004 14:00
PLA_B02			11		03/07/2004 15:00
PLA_B02			11		03/07/2004 16:00
PLA_B02			11		03/07/2004 17:00
PLA_B02			11		03/07/2004 18:00
PLA_B02			13		03/07/2004 19:00
PLA_B02			16		03/07/2004 20:00
PLA_B02			16		03/07/2004 21:00
