ELEMENTO		Valor		Fecha de Recoleccion	
--------		-----		--------------------	
PLA_A05			39		01/07/2004 01:00
PLA_A05			40		01/07/2004 02:00
PLA_A05			40		01/07/2004 03:00
PLA_A05			40		01/07/2004 04:00
PLA_A05			40		01/07/2004 05:00
PLA_A05			42		01/07/2004 06:00
PLA_A05			40		01/07/2004 07:00
PLA_A05			45		01/07/2004 09:00
PLA_A05			48		01/07/2004 10:00
PLA_A05			50		01/07/2004 11:00
PLA_A05			49		01/07/2004 12:00
PLA_A05			49		01/07/2004 13:00
PLA_A05			51		01/07/2004 14:00
PLA_A05			50		01/07/2004 15:00
PLA_A05			52		01/07/2004 16:00
PLA_A05			50		01/07/2004 17:00
PLA_A05			46		01/07/2004 18:00
PLA_A05			47		01/07/2004 19:00
PLA_A05			52		01/07/2004 20:00
PLA_A05			51		01/07/2004 21:00
PLA_A05			49		01/07/2004 22:00
PLA_A05			45		01/07/2004 23:00
PLA_A05			43		02/07/2004 00:00
PLA_A05			40		02/07/2004 01:00
PLA_A05			39		02/07/2004 02:00
PLA_A05			39		02/07/2004 03:00
PLA_A05			39		02/07/2004 04:00
PLA_A05			39		02/07/2004 05:00
PLA_A05			40		02/07/2004 06:00
PLA_A05			39		02/07/2004 07:00
PLA_A05			41		02/07/2004 08:00
PLA_A05			45		02/07/2004 09:00
PLA_A05			47		02/07/2004 10:00
PLA_A05			49		02/07/2004 11:00
PLA_A05			49		02/07/2004 12:00
PLA_A05			50		02/07/2004 13:00
PLA_A05			51		02/07/2004 14:00
PLA_A05			51		02/07/2004 15:00
PLA_A05			51		02/07/2004 16:00
PLA_A05			51		02/07/2004 17:00
PLA_A05			48		02/07/2004 18:00
PLA_A05			50		02/07/2004 19:00
PLA_A05			52		02/07/2004 20:00
PLA_A05			50		02/07/2004 21:00
PLA_A05			50		02/07/2004 22:00
PLA_A05			47		02/07/2004 23:00
PLA_A05			44		03/07/2004 00:00
PLA_A05			41		03/07/2004 01:00
PLA_A05			41		03/07/2004 02:00
PLA_A05			40		03/07/2004 03:00
PLA_A05			41		03/07/2004 04:00
PLA_A05			41		03/07/2004 05:00
PLA_A05			41		03/07/2004 06:00
PLA_A05			40		03/07/2004 07:00
PLA_A05			41		03/07/2004 08:00
PLA_A05			41		03/07/2004 09:00
PLA_A05			45		03/07/2004 10:00
PLA_A05			45		03/07/2004 11:00
PLA_A05			46		03/07/2004 12:00
PLA_A05			46		03/07/2004 13:00
PLA_A05			46		03/07/2004 14:00
PLA_A05			46		03/07/2004 15:00
PLA_A05			48		03/07/2004 16:00
PLA_A05			46		03/07/2004 17:00
PLA_A05			47		03/07/2004 18:00
PLA_A05			48		03/07/2004 19:00
PLA_A05			51		03/07/2004 20:00
PLA_A05			27		03/07/2004 21:00
PLA_A05			25		03/07/2004 22:00
PLA_A05			27		03/07/2004 23:00
PLA_A05			41		04/07/2004 00:00
PLA_A05			41		04/07/2004 01:00
PLA_A05			41		04/07/2004 02:00
PLA_A05			38		04/07/2004 03:00
PLA_A05			39		04/07/2004 04:00
PLA_A05			40		04/07/2004 05:00
PLA_A05			40		04/07/2004 06:00
PLA_A05			39		04/07/2004 07:00
PLA_A05			39		04/07/2004 08:00
PLA_A05			41		04/07/2004 09:00
PLA_A05			44		04/07/2004 10:00
PLA_A05			44		04/07/2004 11:00
PLA_A05			45		04/07/2004 12:00
PLA_A05			47		04/07/2004 13:00
PLA_A05			47		04/07/2004 14:00
PLA_A05			45		04/07/2004 15:00
PLA_A05			46		04/07/2004 16:00
PLA_A05			47		04/07/2004 17:00
PLA_A05			46		04/07/2004 18:00
PLA_A05			48		04/07/2004 19:00
PLA_A05			50		04/07/2004 20:00
PLA_A05			47		04/07/2004 21:00
PLA_A05			47		04/07/2004 22:00
PLA_A05			45		04/07/2004 23:00
PLA_A05			42		05/07/2004 00:00
PLA_A05			40		05/07/2004 01:00
PLA_A05			40		05/07/2004 02:00
PLA_A05			39		05/07/2004 03:00
PLA_A05			40		05/07/2004 04:00
PLA_A05			40		05/07/2004 05:00
PLA_A05			39		05/07/2004 06:00
PLA_A05			39		05/07/2004 07:00
PLA_A05			40		05/07/2004 08:00
PLA_A05			41		05/07/2004 09:00
PLA_A05			44		05/07/2004 10:00
PLA_A05			44		05/07/2004 11:00
PLA_A05			44		05/07/2004 12:00
PLA_A05			45		05/07/2004 13:00
PLA_A05			45		05/07/2004 14:00
PLA_A05			45		05/07/2004 15:00
PLA_A05			47		05/07/2004 16:00
PLA_A05			46		05/07/2004 17:00
PLA_A05			46		05/07/2004 18:00
PLA_A05			50		05/07/2004 19:00
PLA_A05			50		05/07/2004 20:00
PLA_A05			48		05/07/2004 21:00
PLA_A05			47		05/07/2004 22:00
PLA_A05			43		05/07/2004 23:00
PLA_A05			40		06/07/2004 00:00
PLA_A05			39		06/07/2004 01:00
PLA_A05			39		06/07/2004 02:00
PLA_A05			38		06/07/2004 03:00
PLA_A05			39		06/07/2004 04:00
PLA_A05			40		06/07/2004 05:00
PLA_A05			41		06/07/2004 06:00
PLA_A05			40		06/07/2004 07:00
PLA_A05			41		06/07/2004 08:00
PLA_A05			43		06/07/2004 09:00
PLA_A05			46		06/07/2004 10:00
PLA_A05			49		06/07/2004 11:00
PLA_A05			51		06/07/2004 12:00
PLA_A05			49		06/07/2004 13:00
PLA_A05			48		06/07/2004 14:00
PLA_A05			48		06/07/2004 15:00
PLA_A05			47		06/07/2004 16:00
PLA_A05			45		06/07/2004 17:00
PLA_A05			45		06/07/2004 18:00
PLA_A05			47		06/07/2004 19:00
PLA_A05			53		06/07/2004 20:00
PLA_A05			51		06/07/2004 21:00
PLA_A05			49		06/07/2004 22:00
PLA_A05			45		06/07/2004 23:00
PLA_A05			43		07/07/2004 00:00
PLA_A05			41		07/07/2004 01:00
PLA_A05			40		07/07/2004 02:00
PLA_A05			39		07/07/2004 03:00
PLA_A05			39		07/07/2004 04:00
PLA_A05			39		07/07/2004 05:00
PLA_A05			41		07/07/2004 06:00
PLA_A05			40		07/07/2004 07:00
PLA_A05			43		07/07/2004 08:00
PLA_A05			46		07/07/2004 09:00
PLA_A05			48		07/07/2004 10:00
PLA_A05			49		07/07/2004 11:00
PLA_A05			50		07/07/2004 12:00
PLA_A05			50		07/07/2004 13:00
PLA_A05			49		07/07/2004 14:00
PLA_A05			49		07/07/2004 15:00
PLA_A05			50		07/07/2004 16:00
PLA_A05			50		07/07/2004 17:00
PLA_A05			49		07/07/2004 18:00
PLA_A05			51		07/07/2004 19:00
PLA_A05			53		07/07/2004 20:00
PLA_A05			52		07/07/2004 21:00
PLA_A05			49		07/07/2004 22:00
PLA_A05			46		07/07/2004 23:00
PLA_A05			44		08/07/2004 00:00
PLA_A05			41		08/07/2004 01:00
PLA_A05			41		08/07/2004 02:00
PLA_A05			40		08/07/2004 03:00
PLA_A05			40		08/07/2004 04:00
PLA_A05			41		08/07/2004 05:00
PLA_A05			42		08/07/2004 06:00
PLA_A05			42		08/07/2004 07:00
PLA_A05			43		08/07/2004 08:00
PLA_A05			46		08/07/2004 09:00
PLA_A05			48		08/07/2004 10:00
PLA_A05			48		08/07/2004 11:00
PLA_A05			49		08/07/2004 12:00
PLA_A05			50		08/07/2004 13:00
PLA_A05			49		08/07/2004 14:00
PLA_A05			49		08/07/2004 15:00
PLA_A05			47		08/07/2004 17:00
PLA_A05			45		08/07/2004 18:00
PLA_A05			48		08/07/2004 19:00
PLA_A05			51		08/07/2004 20:00
PLA_A05			49		08/07/2004 21:00
PLA_A05			49		08/07/2004 22:00
PLA_A05			44		08/07/2004 23:00
PLA_A05			42		09/07/2004 00:00
PLA_A05			40		09/07/2004 01:00
PLA_A05			42		09/07/2004 07:00
PLA_A05			42		09/07/2004 08:00
PLA_A05			44		09/07/2004 09:00
PLA_A05			46		09/07/2004 10:00
PLA_A05			47		09/07/2004 11:00
PLA_A05			49		09/07/2004 12:00
PLA_A05			49		09/07/2004 13:00
PLA_A05			48		09/07/2004 14:00
PLA_A05			48		09/07/2004 15:00
PLA_A05			48		09/07/2004 16:00
PLA_A05			48		09/07/2004 17:00
PLA_A05			47		09/07/2004 18:00
PLA_A05			47		09/07/2004 19:00
PLA_A05			51		09/07/2004 20:00
PLA_A05			49		09/07/2004 21:00
PLA_A05			48		09/07/2004 22:00
PLA_A05			44		09/07/2004 23:00
PLA_A05			42		10/07/2004 00:00
PLA_A05			39		10/07/2004 01:00
PLA_A05			39		10/07/2004 02:00
PLA_A05			37		10/07/2004 03:00
PLA_A05			39		10/07/2004 04:00
PLA_A05			38		10/07/2004 05:00
PLA_A05			39		10/07/2004 06:00
PLA_A05			37		10/07/2004 07:00
PLA_A05			37		10/07/2004 08:00
PLA_A05			40		10/07/2004 09:00
PLA_A05			43		10/07/2004 10:00
PLA_A05			46		10/07/2004 11:00
PLA_A05			45		10/07/2004 12:00
PLA_A05			47		10/07/2004 13:00
PLA_A05			47		10/07/2004 14:00
PLA_A05			47		10/07/2004 15:00
PLA_A05			48		10/07/2004 16:00
PLA_A05			47		10/07/2004 17:00
PLA_A05			47		10/07/2004 18:00
PLA_A05			48		10/07/2004 19:00
PLA_A05			52		10/07/2004 20:00
PLA_A05			51		10/07/2004 21:00
PLA_A05			50		10/07/2004 22:00
PLA_A05			47		10/07/2004 23:00
PLA_A05			44		11/07/2004 00:00
PLA_A05			42		11/07/2004 01:00
PLA_A05			41		11/07/2004 02:00
PLA_A05			39		11/07/2004 03:00
PLA_A05			41		11/07/2004 04:00
PLA_A05			40		11/07/2004 05:00
PLA_A05			41		11/07/2004 06:00
PLA_A05			40		11/07/2004 07:00
PLA_A05			40		11/07/2004 08:00
PLA_A05			41		11/07/2004 09:00
PLA_A05			43		11/07/2004 10:00
PLA_A05			45		11/07/2004 11:00
PLA_A05			46		11/07/2004 12:00
PLA_A05			48		11/07/2004 13:00
PLA_A05			47		11/07/2004 14:00
PLA_A05			45		11/07/2004 15:00
PLA_A05			47		11/07/2004 16:00
PLA_A05			47		11/07/2004 17:00
PLA_A05			47		11/07/2004 18:00
PLA_A05			48		11/07/2004 19:00
PLA_A05			51		11/07/2004 20:00
PLA_A05			49		11/07/2004 21:00
PLA_A05			47		11/07/2004 22:00
PLA_A05			44		11/07/2004 23:00
PLA_A05			40		12/07/2004 00:00
PLA_A05			40		12/07/2004 01:00
PLA_A05			40		12/07/2004 02:00
PLA_A05			38		12/07/2004 03:00
PLA_A05			40		12/07/2004 04:00
PLA_A05			39		12/07/2004 05:00
PLA_A05			41		12/07/2004 06:00
PLA_A05			40		12/07/2004 07:00
PLA_A05			41		12/07/2004 08:00
PLA_A05			44		12/07/2004 09:00
PLA_A05			47		12/07/2004 10:00
PLA_A05			47		12/07/2004 11:00
PLA_A05			47		12/07/2004 12:00
PLA_A05			48		12/07/2004 13:00
PLA_A05			46		12/07/2004 14:00
PLA_A05			47		12/07/2004 15:00
PLA_A05			48		12/07/2004 16:00
PLA_A05			48		12/07/2004 17:00
PLA_A05			46		12/07/2004 18:00
PLA_A05			46		12/07/2004 19:00
PLA_A05			50		12/07/2004 20:00
PLA_A05			49		12/07/2004 21:00
PLA_A05			47		12/07/2004 22:00
PLA_A05			43		12/07/2004 23:00
PLA_A05			40		13/07/2004 00:00
PLA_A05			40		13/07/2004 01:00
PLA_A05			39		13/07/2004 02:00
PLA_A05			38		13/07/2004 03:00
PLA_A05			39		13/07/2004 04:00
PLA_A05			39		13/07/2004 05:00
PLA_A05			40		13/07/2004 06:00
PLA_A05			41		13/07/2004 07:00
PLA_A05			41		13/07/2004 08:00
PLA_A05			43		13/07/2004 09:00
PLA_A05			47		13/07/2004 10:00
PLA_A05			49		13/07/2004 11:00
PLA_A05			48		13/07/2004 12:00
PLA_A05			50		13/07/2004 13:00
PLA_A05			49		13/07/2004 14:00
PLA_A05			49		13/07/2004 15:00
PLA_A05			49		13/07/2004 16:00
PLA_A05			49		13/07/2004 17:00
PLA_A05			48		13/07/2004 18:00
PLA_A05			48		13/07/2004 19:00
PLA_A05			51		13/07/2004 20:00
PLA_A05			50		13/07/2004 21:00
PLA_A05			47		13/07/2004 22:00
PLA_A05			45		13/07/2004 23:00
PLA_A05			42		14/07/2004 00:00
PLA_A05			42		15/07/2004 01:00
PLA_A05			42		15/07/2004 08:00
PLA_A05			44		15/07/2004 09:00
PLA_A05			47		15/07/2004 10:00
PLA_A05			49		15/07/2004 11:00
PLA_A05			51		15/07/2004 12:00
PLA_A05			51		15/07/2004 13:00
PLA_A05			51		15/07/2004 14:00
PLA_A05			51		15/07/2004 15:00
PLA_A05			52		15/07/2004 16:00
PLA_A05			50		15/07/2004 17:00
PLA_A05			49		15/07/2004 18:00
PLA_A05			50		15/07/2004 19:00
PLA_A05			54		15/07/2004 20:00
PLA_A05			53		15/07/2004 21:00
PLA_A05			51		15/07/2004 22:00
PLA_A05			47		15/07/2004 23:00
PLA_A05			42		16/07/2004 00:00
PLA_A05			42		16/07/2004 01:00
PLA_A05			41		16/07/2004 02:00
PLA_A05			40		16/07/2004 03:00
PLA_A05			40		16/07/2004 04:00
PLA_A05			39		16/07/2004 05:00
PLA_A05			41		16/07/2004 06:00
PLA_A05			42		16/07/2004 07:00
PLA_A05			42		16/07/2004 08:00
PLA_A05			43		16/07/2004 09:00
PLA_A05			44		16/07/2004 10:00
PLA_A05			46		16/07/2004 11:00
PLA_A05			46		16/07/2004 12:00
PLA_A05			47		16/07/2004 13:00
PLA_A05			47		16/07/2004 14:00
PLA_A05			48		16/07/2004 15:00
PLA_A05			48		16/07/2004 16:00
