ELEMENTO		Valor		Fecha de Recoleccion	
--------		-----		--------------------	
PLA_A01			13		01/07/2004 01:00
PLA_A01			12		01/07/2004 02:00
PLA_A01			11		01/07/2004 03:00
PLA_A01			11		01/07/2004 04:00
PLA_A01			12		01/07/2004 05:00
PLA_A01			15		01/07/2004 06:00
PLA_A01			17		01/07/2004 07:00
PLA_A01			19		01/07/2004 09:00
PLA_A01			19		01/07/2004 10:00
PLA_A01			20		01/07/2004 11:00
PLA_A01			21		01/07/2004 12:00
PLA_A01			19		01/07/2004 13:00
PLA_A01			19		01/07/2004 14:00
PLA_A01			18		01/07/2004 15:00
PLA_A01			17		01/07/2004 16:00
PLA_A01			17		01/07/2004 17:00
PLA_A01			16		01/07/2004 18:00
PLA_A01			17		01/07/2004 19:00
PLA_A01			23		01/07/2004 20:00
PLA_A01			25		01/07/2004 21:00
PLA_A01			23		01/07/2004 22:00
PLA_A01			19		01/07/2004 23:00
PLA_A01			15		02/07/2004 00:00
PLA_A01			13		02/07/2004 01:00
PLA_A01			12		02/07/2004 02:00
PLA_A01			11		02/07/2004 03:00
PLA_A01			11		02/07/2004 04:00
PLA_A01			11		02/07/2004 05:00
PLA_A01			14		02/07/2004 06:00
PLA_A01			17		02/07/2004 07:00
PLA_A01			18		02/07/2004 08:00
PLA_A01			19		02/07/2004 09:00
PLA_A01			20		02/07/2004 10:00
PLA_A01			20		02/07/2004 11:00
PLA_A01			20		02/07/2004 12:00
PLA_A01			19		02/07/2004 13:00
PLA_A01			18		02/07/2004 14:00
PLA_A01			18		02/07/2004 15:00
PLA_A01			18		02/07/2004 16:00
PLA_A01			16		02/07/2004 17:00
PLA_A01			16		02/07/2004 18:00
PLA_A01			19		02/07/2004 19:00
PLA_A01			22		02/07/2004 20:00
PLA_A01			22		02/07/2004 21:00
PLA_A01			20		02/07/2004 22:00
PLA_A01			17		02/07/2004 23:00
PLA_A01			15		03/07/2004 00:00
PLA_A01			13		03/07/2004 01:00
PLA_A01			12		03/07/2004 02:00
PLA_A01			12		03/07/2004 03:00
PLA_A01			12		03/07/2004 04:00
PLA_A01			12		03/07/2004 05:00
PLA_A01			12		03/07/2004 06:00
PLA_A01			11		03/07/2004 07:00
PLA_A01			14		03/07/2004 08:00
PLA_A01			16		03/07/2004 09:00
PLA_A01			17		03/07/2004 10:00
PLA_A01			17		03/07/2004 11:00
PLA_A01			16		03/07/2004 12:00
PLA_A01			16		03/07/2004 13:00
PLA_A01			16		03/07/2004 14:00
PLA_A01			15		03/07/2004 15:00
PLA_A01			15		03/07/2004 16:00
PLA_A01			15		03/07/2004 17:00
PLA_A01			15		03/07/2004 18:00
PLA_A01			17		03/07/2004 19:00
PLA_A01			20		03/07/2004 20:00
PLA_A01			21		03/07/2004 21:00
PLA_A01			20		03/07/2004 22:00
PLA_A01			18		03/07/2004 23:00
PLA_A01			15		04/07/2004 00:00
PLA_A01			13		04/07/2004 01:00
PLA_A01			12		04/07/2004 02:00
PLA_A01			12		04/07/2004 03:00
PLA_A01			12		04/07/2004 04:00
PLA_A01			11		04/07/2004 05:00
PLA_A01			11		04/07/2004 06:00
PLA_A01			11		04/07/2004 07:00
PLA_A01			12		04/07/2004 08:00
PLA_A01			15		04/07/2004 09:00
PLA_A01			16		04/07/2004 10:00
PLA_A01			17		04/07/2004 11:00
PLA_A01			17		04/07/2004 12:00
PLA_A01			16		04/07/2004 13:00
PLA_A01			16		04/07/2004 14:00
PLA_A01			15		04/07/2004 15:00
PLA_A01			13		04/07/2004 16:00
PLA_A01			13		04/07/2004 17:00
PLA_A01			13		04/07/2004 18:00
PLA_A01			17		04/07/2004 19:00
PLA_A01			19		04/07/2004 20:00
PLA_A01			20		04/07/2004 21:00
PLA_A01			19		04/07/2004 22:00
PLA_A01			17		04/07/2004 23:00
PLA_A01			15		05/07/2004 00:00
PLA_A01			13		05/07/2004 01:00
PLA_A01			12		05/07/2004 02:00
PLA_A01			12		05/07/2004 03:00
PLA_A01			11		05/07/2004 04:00
PLA_A01			11		05/07/2004 05:00
PLA_A01			12		05/07/2004 06:00
PLA_A01			11		05/07/2004 07:00
PLA_A01			11		05/07/2004 08:00
PLA_A01			14		05/07/2004 09:00
PLA_A01			16		05/07/2004 10:00
PLA_A01			18		05/07/2004 11:00
PLA_A01			19		05/07/2004 12:00
PLA_A01			18		05/07/2004 13:00
PLA_A01			19		05/07/2004 14:00
PLA_A01			16		05/07/2004 15:00
PLA_A01			16		05/07/2004 16:00
PLA_A01			16		05/07/2004 17:00
PLA_A01			16		05/07/2004 18:00
PLA_A01			18		05/07/2004 19:00
PLA_A01			22		05/07/2004 20:00
PLA_A01			22		05/07/2004 21:00
PLA_A01			21		05/07/2004 22:00
PLA_A01			18		05/07/2004 23:00
PLA_A01			14		06/07/2004 00:00
PLA_A01			13		06/07/2004 01:00
PLA_A01			12		06/07/2004 02:00
PLA_A01			12		06/07/2004 03:00
PLA_A01			11		06/07/2004 04:00
PLA_A01			11		06/07/2004 05:00
PLA_A01			15		06/07/2004 06:00
PLA_A01			17		06/07/2004 07:00
PLA_A01			18		06/07/2004 08:00
PLA_A01			18		06/07/2004 09:00
