ELEMENTO		Valor		Fecha de Recoleccion	
--------		-----		--------------------	
PLA_A03			10		01/07/2004 01:00
PLA_A03			9		01/07/2004 02:00
PLA_A03			9		01/07/2004 03:00
PLA_A03			9		01/07/2004 04:00
PLA_A03			9		01/07/2004 05:00
PLA_A03			12		01/07/2004 06:00
PLA_A03			15		01/07/2004 07:00
PLA_A03			16		01/07/2004 09:00
PLA_A03			17		01/07/2004 10:00
PLA_A03			16		01/07/2004 11:00
PLA_A03			15		01/07/2004 12:00
PLA_A03			15		01/07/2004 13:00
PLA_A03			13		01/07/2004 14:00
PLA_A03			12		01/07/2004 15:00
PLA_A03			12		01/07/2004 16:00
PLA_A03			12		01/07/2004 17:00
PLA_A03			11		01/07/2004 18:00
PLA_A03			13		01/07/2004 19:00
PLA_A03			20		01/07/2004 20:00
PLA_A03			19		01/07/2004 21:00
PLA_A03			18		01/07/2004 22:00
PLA_A03			14		01/07/2004 23:00
PLA_A03			12		02/07/2004 00:00
PLA_A03			11		02/07/2004 01:00
PLA_A03			9		02/07/2004 02:00
PLA_A03			9		02/07/2004 03:00
PLA_A03			9		02/07/2004 04:00
PLA_A03			9		02/07/2004 05:00
PLA_A03			11		02/07/2004 06:00
PLA_A03			14		02/07/2004 07:00
PLA_A03			16		02/07/2004 08:00
PLA_A03			16		02/07/2004 09:00
PLA_A03			17		02/07/2004 10:00
PLA_A03			16		02/07/2004 11:00
PLA_A03			17		02/07/2004 12:00
PLA_A03			17		02/07/2004 13:00
PLA_A03			16		02/07/2004 14:00
PLA_A03			15		02/07/2004 15:00
PLA_A03			15		02/07/2004 16:00
PLA_A03			14		02/07/2004 17:00
PLA_A03			14		02/07/2004 18:00
PLA_A03			15		02/07/2004 19:00
PLA_A03			17		02/07/2004 20:00
PLA_A03			17		02/07/2004 21:00
PLA_A03			16		02/07/2004 22:00
PLA_A03			14		02/07/2004 23:00
PLA_A03			12		03/07/2004 00:00
PLA_A03			11		03/07/2004 01:00
PLA_A03			10		03/07/2004 02:00
PLA_A03			10		03/07/2004 03:00
PLA_A03			9		03/07/2004 04:00
PLA_A03			9		03/07/2004 05:00
PLA_A03			10		03/07/2004 06:00
PLA_A03			11		03/07/2004 07:00
PLA_A03			12		03/07/2004 08:00
PLA_A03			13		03/07/2004 09:00
