ELEMENTO		Valor		Fecha de Recoleccion	
--------		-----		--------------------	
PLA_A04			1		01/07/2004 01:00
PLA_A04			0		01/07/2004 02:00
PLA_A04			0		01/07/2004 03:00
PLA_A04			0		01/07/2004 04:00
PLA_A04			0		01/07/2004 05:00
PLA_A04			3		01/07/2004 06:00
PLA_A04			4		01/07/2004 07:00
PLA_A04			5		01/07/2004 09:00
PLA_A04			5		01/07/2004 10:00
PLA_A04			5		01/07/2004 11:00
PLA_A04			5		01/07/2004 12:00
PLA_A04			5		01/07/2004 13:00
PLA_A04			5		01/07/2004 14:00
PLA_A04			5		01/07/2004 15:00
PLA_A04			5		01/07/2004 16:00
PLA_A04			3		01/07/2004 17:00
PLA_A04			1		01/07/2004 18:00
PLA_A04			5		01/07/2004 19:00
PLA_A04			6		01/07/2004 20:00
PLA_A04			6		01/07/2004 21:00
PLA_A04			6		01/07/2004 22:00
PLA_A04			6		01/07/2004 23:00
PLA_A04			5		02/07/2004 00:00
PLA_A04			4		02/07/2004 01:00
PLA_A04			2		02/07/2004 02:00
PLA_A04			2		02/07/2004 03:00
PLA_A04			0		02/07/2004 04:00
PLA_A04			1		02/07/2004 05:00
PLA_A04			5		02/07/2004 06:00
PLA_A04			4		02/07/2004 07:00
PLA_A04			5		02/07/2004 08:00
PLA_A04			6		02/07/2004 09:00
PLA_A04			5		02/07/2004 10:00
PLA_A04			7		02/07/2004 11:00
PLA_A04			10		02/07/2004 12:00
PLA_A04			10		02/07/2004 13:00
PLA_A04			9		02/07/2004 14:00
PLA_A04			9		02/07/2004 15:00
PLA_A04			6		02/07/2004 16:00
PLA_A04			4		02/07/2004 17:00
PLA_A04			5		02/07/2004 18:00
PLA_A04			5		02/07/2004 19:00
PLA_A04			6		02/07/2004 20:00
PLA_A04			6		02/07/2004 21:00
PLA_A04			5		02/07/2004 22:00
PLA_A04			6		02/07/2004 23:00
PLA_A04			5		03/07/2004 00:00
PLA_A04			3		03/07/2004 01:00
PLA_A04			1		03/07/2004 02:00
PLA_A04			0		03/07/2004 03:00
PLA_A04			0		03/07/2004 04:00
PLA_A04			0		03/07/2004 05:00
PLA_A04			1		03/07/2004 06:00
