ELEMENTO		Valor		Fecha de Recoleccion	
PLA_A02			55		07/07/2004 16:00
PLA_A02			48		07/07/2004 17:00
PLA_A02			44		07/07/2004 18:00
PLA_A02			40		07/07/2004 19:00
PLA_A02			39		07/07/2004 20:00
PLA_A02			36		07/07/2004 21:00
PLA_A02			34		07/07/2004 22:00
PLA_A02			34		07/07/2004 23:00
PLA_A02			32		08/07/2004 00:00
PLA_A02			31		08/07/2004 01:00
PLA_A02			31		08/07/2004 02:00
PLA_A02			31		08/07/2004 03:00
PLA_A02			29		08/07/2004 04:00
PLA_A02			27		08/07/2004 05:00
PLA_A02			28		08/07/2004 06:00
PLA_A02			30		08/07/2004 07:00
PLA_A02			37		08/07/2004 08:00
PLA_A02			48		08/07/2004 09:00
PLA_A02			53		08/07/2004 10:00
PLA_A02			57		08/07/2004 11:00
PLA_A02			58		08/07/2004 12:00
PLA_A02			56		08/07/2004 13:00
PLA_A02			58		08/07/2004 14:00
PLA_A02			61		08/07/2004 15:00
PLA_A02			48		08/07/2004 17:00
PLA_A02			45		08/07/2004 18:00
PLA_A02			40		08/07/2004 19:00
PLA_A02			37		08/07/2004 20:00
PLA_A02			35		08/07/2004 21:00
PLA_A02			33		08/07/2004 22:00
PLA_A02			32		08/07/2004 23:00
PLA_A02			31		09/07/2004 00:00
PLA_A02			31		09/07/2004 01:00
PLA_A02			31		09/07/2004 07:00
PLA_A02			39		09/07/2004 08:00
PLA_A02			48		09/07/2004 09:00
PLA_A02			55		09/07/2004 10:00
PLA_A02			58		09/07/2004 11:00
PLA_A02			59		09/07/2004 12:00
PLA_A02			57		09/07/2004 13:00
PLA_A02			58		09/07/2004 14:00
PLA_A02			58		09/07/2004 15:00
PLA_A02			55		09/07/2004 16:00
PLA_A02			44		09/07/2004 17:00
PLA_A02			40		09/07/2004 18:00
PLA_A02			35		09/07/2004 19:00
PLA_A02			34		09/07/2004 20:00
PLA_A02			30		09/07/2004 21:00
PLA_A02			29		09/07/2004 22:00
PLA_A02			28		09/07/2004 23:00
PLA_A02			28		10/07/2004 00:00
PLA_A02			28		10/07/2004 01:00
PLA_A02			28		10/07/2004 02:00
PLA_A02			27		10/07/2004 03:00
PLA_A02			26		10/07/2004 04:00
PLA_A02			26		10/07/2004 05:00
PLA_A02			26		10/07/2004 06:00
PLA_A02			25		10/07/2004 07:00
PLA_A02			25		10/07/2004 08:00
PLA_A02			29		10/07/2004 09:00
PLA_A02			31		10/07/2004 10:00
PLA_A02			32		10/07/2004 11:00
PLA_A02			30		10/07/2004 12:00
PLA_A02			30		10/07/2004 13:00
PLA_A02			30		10/07/2004 14:00
PLA_A02			30		10/07/2004 15:00
PLA_A02			29		10/07/2004 16:00
PLA_A02			29		10/07/2004 17:00
PLA_A02			29		10/07/2004 18:00
PLA_A02			27		10/07/2004 19:00
PLA_A02			29		10/07/2004 20:00
PLA_A02			28		10/07/2004 21:00
PLA_A02			28		10/07/2004 22:00
PLA_A02			27		10/07/2004 23:00
PLA_A02			27		11/07/2004 00:00
PLA_A02			27		11/07/2004 01:00
PLA_A02			27		11/07/2004 02:00
PLA_A02			27		11/07/2004 03:00
PLA_A02			26		11/07/2004 04:00
PLA_A02			25		11/07/2004 05:00
PLA_A02			25		11/07/2004 06:00
PLA_A02			25		11/07/2004 07:00
PLA_A02			25		11/07/2004 08:00
PLA_A02			25		11/07/2004 09:00
PLA_A02			26		11/07/2004 10:00
PLA_A02			26		11/07/2004 11:00
PLA_A02			27		11/07/2004 12:00
PLA_A02			27		11/07/2004 13:00
PLA_A02			27		11/07/2004 14:00
PLA_A02			27		11/07/2004 15:00
PLA_A02			28		11/07/2004 16:00
PLA_A02			27		11/07/2004 17:00
PLA_A02			27		11/07/2004 18:00
PLA_A02			27		11/07/2004 19:00
PLA_A02			27		11/07/2004 20:00
PLA_A02			27		11/07/2004 21:00
PLA_A02			27		11/07/2004 22:00
PLA_A02			27		11/07/2004 23:00
PLA_A02			26		12/07/2004 00:00
PLA_A02			26		12/07/2004 01:00
PLA_A02			25		12/07/2004 02:00
PLA_A02			25		12/07/2004 03:00
PLA_A02			24		12/07/2004 04:00
PLA_A02			25		12/07/2004 05:00
PLA_A02			25		12/07/2004 06:00
PLA_A02			27		12/07/2004 07:00
PLA_A02			32		12/07/2004 08:00
PLA_A02			44		12/07/2004 09:00
PLA_A02			53		12/07/2004 10:00
PLA_A02			55		12/07/2004 11:00
PLA_A02			55		12/07/2004 12:00
PLA_A02			54		12/07/2004 13:00
PLA_A02			55		12/07/2004 14:00
PLA_A02			55		12/07/2004 15:00
PLA_A02			53		12/07/2004 16:00
PLA_A02			44		12/07/2004 17:00
PLA_A02			40		12/07/2004 18:00
PLA_A02			36		12/07/2004 19:00
PLA_A02			34		12/07/2004 20:00
PLA_A02			32		12/07/2004 21:00
PLA_A02			31		12/07/2004 22:00
PLA_A02			30		12/07/2004 23:00
PLA_A02			29		13/07/2004 00:00
PLA_A02			29		13/07/2004 01:00
PLA_A02			29		13/07/2004 02:00
PLA_A02			29		13/07/2004 03:00
PLA_A02			27		13/07/2004 04:00
PLA_A02			26		13/07/2004 05:00
PLA_A02			26		13/07/2004 06:00
PLA_A02			28		13/07/2004 07:00
PLA_A02			32		13/07/2004 08:00
PLA_A02			43		13/07/2004 09:00
PLA_A02			49		13/07/2004 10:00
PLA_A02			52		13/07/2004 11:00
PLA_A02			54		13/07/2004 12:00
PLA_A02			53		13/07/2004 13:00
PLA_A02			54		13/07/2004 14:00
PLA_A02			55		13/07/2004 15:00
PLA_A02			53		13/07/2004 16:00
PLA_A02			45		13/07/2004 17:00
PLA_A02			40		13/07/2004 18:00
PLA_A02			37		13/07/2004 19:00
PLA_A02			35		13/07/2004 20:00
PLA_A02			33		13/07/2004 21:00
PLA_A02			30		13/07/2004 22:00
PLA_A02			30		13/07/2004 23:00
PLA_A02			29		14/07/2004 00:00
PLA_A02			31		15/07/2004 01:00
PLA_A02			34		15/07/2004 08:00
PLA_A02			44		15/07/2004 09:00
PLA_A02			51		15/07/2004 10:00
PLA_A02			54		15/07/2004 11:00
PLA_A02			55		15/07/2004 12:00
PLA_A02			54		15/07/2004 13:00
PLA_A02			55		15/07/2004 14:00
PLA_A02			55		15/07/2004 15:00
PLA_A02			54		15/07/2004 16:00
PLA_A02			46		15/07/2004 17:00
PLA_A02			41		15/07/2004 18:00
PLA_A02			38		15/07/2004 19:00
PLA_A02			36		15/07/2004 20:00
PLA_A02			35		15/07/2004 21:00
PLA_A02			34		15/07/2004 22:00
PLA_A02			33		15/07/2004 23:00
PLA_A02			32		16/07/2004 00:00
PLA_A02			32		16/07/2004 01:00
PLA_A02			31		16/07/2004 02:00
PLA_A02			30		16/07/2004 03:00
PLA_A02			29		16/07/2004 04:00
PLA_A02			27		16/07/2004 05:00
PLA_A02			27		16/07/2004 06:00
PLA_A02			30		16/07/2004 07:00
PLA_A02			34		16/07/2004 08:00
PLA_A02			41		16/07/2004 09:00
PLA_A02			48		16/07/2004 10:00
PLA_A02			50		16/07/2004 11:00
PLA_A02			52		16/07/2004 12:00
PLA_A02			50		16/07/2004 13:00
PLA_A02			52		16/07/2004 14:00
PLA_A02			52		16/07/2004 15:00
PLA_A02			45		16/07/2004 16:00
PLA_A02			37		16/07/2004 17:00
PLA_A02			33		16/07/2004 18:00
PLA_A02			30		16/07/2004 19:00
PLA_A02			29		16/07/2004 20:00
PLA_A02			29		16/07/2004 21:00
PLA_A02			27		16/07/2004 22:00
PLA_A02			24		16/07/2004 23:00
PLA_A02			24		17/07/2004 00:00
PLA_A02			24		17/07/2004 01:00
PLA_A02			23		17/07/2004 02:00
PLA_A02			23		17/07/2004 03:00
PLA_A02			22		17/07/2004 04:00
PLA_A02			22		17/07/2004 05:00
PLA_A02			21		17/07/2004 06:00
PLA_A02			22		17/07/2004 07:00
PLA_A02			24		17/07/2004 08:00
PLA_A02			25		17/07/2004 09:00
PLA_A02			26		17/07/2004 10:00
PLA_A02			26		17/07/2004 11:00
PLA_A02			24		17/07/2004 12:00
PLA_A02			23		17/07/2004 13:00
PLA_A02			22		17/07/2004 14:00
PLA_A02			24		17/07/2004 15:00
PLA_A02			24		17/07/2004 16:00
PLA_A02			25		17/07/2004 17:00
PLA_A02			24		17/07/2004 18:00
PLA_A02			24		17/07/2004 19:00
PLA_A02			23		17/07/2004 20:00
PLA_A02			24		17/07/2004 21:00
PLA_A02			24		17/07/2004 22:00
PLA_A02			23		17/07/2004 23:00
PLA_A02			22		18/07/2004 00:00
PLA_A02			22		18/07/2004 01:00
PLA_A02			21		18/07/2004 05:00
PLA_A02			20		18/07/2004 06:00
PLA_A02			20		18/07/2004 07:00
PLA_A02			21		18/07/2004 08:00
PLA_A02			21		18/07/2004 09:00
PLA_A02			23		18/07/2004 10:00
PLA_A02			23		18/07/2004 11:00
PLA_A02			23		18/07/2004 12:00
PLA_A02			23		18/07/2004 13:00
