ELEMENTO		Valor		Fecha de Recoleccion	
--------		-----		--------------------	
PLA_B03			11		01/07/2004 01:00
PLA_B03			11		01/07/2004 02:00
PLA_B03			11		01/07/2004 03:00
PLA_B03			11		01/07/2004 04:00
PLA_B03			10		01/07/2004 05:00
PLA_B03			11		01/07/2004 06:00
PLA_B03			10		01/07/2004 07:00
PLA_B03			17		01/07/2004 09:00
PLA_B03			18		01/07/2004 10:00
PLA_B03			19		01/07/2004 11:00
PLA_B03			20		01/07/2004 12:00
PLA_B03			19		01/07/2004 13:00
PLA_B03			19		01/07/2004 14:00
PLA_B03			19		01/07/2004 15:00
PLA_B03			20		01/07/2004 16:00
PLA_B03			18		01/07/2004 17:00
PLA_B03			17		01/07/2004 18:00
PLA_B03			16		01/07/2004 19:00
PLA_B03			14		01/07/2004 20:00
PLA_B03			12		01/07/2004 21:00
PLA_B03			11		01/07/2004 22:00
PLA_B03			11		01/07/2004 23:00
PLA_B03			11		02/07/2004 00:00
PLA_B03			10		02/07/2004 01:00
PLA_B03			10		02/07/2004 02:00
PLA_B03			10		02/07/2004 03:00
PLA_B03			10		02/07/2004 04:00
PLA_B03			10		02/07/2004 05:00
PLA_B03			10		02/07/2004 06:00
PLA_B03			9		02/07/2004 07:00
PLA_B03			11		02/07/2004 08:00
PLA_B03			15		02/07/2004 09:00
PLA_B03			19		02/07/2004 10:00
PLA_B03			20		02/07/2004 11:00
PLA_B03			21		02/07/2004 12:00
PLA_B03			20		02/07/2004 13:00
PLA_B03			20		02/07/2004 14:00
PLA_B03			20		02/07/2004 15:00
PLA_B03			21		02/07/2004 16:00
PLA_B03			19		02/07/2004 17:00
PLA_B03			17		02/07/2004 18:00
PLA_B03			16		02/07/2004 19:00
PLA_B03			14		02/07/2004 20:00
PLA_B03			12		02/07/2004 21:00
PLA_B03			11		02/07/2004 22:00
PLA_B03			11		02/07/2004 23:00
PLA_B03			11		03/07/2004 00:00
PLA_B03			10		03/07/2004 01:00
PLA_B03			10		03/07/2004 02:00
PLA_B03			10		03/07/2004 03:00
PLA_B03			10		03/07/2004 04:00
PLA_B03			10		03/07/2004 05:00
PLA_B03			10		03/07/2004 06:00
PLA_B03			9		03/07/2004 07:00
PLA_B03			9		03/07/2004 08:00
PLA_B03			12		03/07/2004 09:00
PLA_B03			13		03/07/2004 10:00
PLA_B03			14		03/07/2004 11:00
PLA_B03			13		03/07/2004 12:00
PLA_B03			11		03/07/2004 13:00
PLA_B03			11		03/07/2004 14:00
PLA_B03			11		03/07/2004 15:00
PLA_B03			10		03/07/2004 16:00
PLA_B03			10		03/07/2004 17:00
PLA_B03			11		03/07/2004 18:00
PLA_B03			11		03/07/2004 19:00
PLA_B03			11		03/07/2004 20:00
PLA_B03			11		03/07/2004 21:00
PLA_B03			11		03/07/2004 22:00
PLA_B03			11		03/07/2004 23:00
PLA_B03			11		04/07/2004 00:00
PLA_B03			10		04/07/2004 01:00
PLA_B03			10		04/07/2004 02:00
PLA_B03			10		04/07/2004 03:00
PLA_B03			10		04/07/2004 04:00
PLA_B03			10		04/07/2004 05:00
PLA_B03			9		04/07/2004 06:00
PLA_B03			9		04/07/2004 07:00
PLA_B03			9		04/07/2004 08:00
PLA_B03			9		04/07/2004 09:00
PLA_B03			9		04/07/2004 10:00
PLA_B03			10		04/07/2004 11:00
PLA_B03			10		04/07/2004 12:00
PLA_B03			10		04/07/2004 13:00
PLA_B03			9		04/07/2004 14:00
PLA_B03			9		04/07/2004 15:00
PLA_B03			10		04/07/2004 16:00
PLA_B03			10		04/07/2004 17:00
PLA_B03			10		04/07/2004 18:00
PLA_B03			10		04/07/2004 19:00
PLA_B03			11		04/07/2004 20:00
PLA_B03			11		04/07/2004 21:00
PLA_B03			10		04/07/2004 22:00
PLA_B03			10		04/07/2004 23:00
PLA_B03			10		05/07/2004 00:00
PLA_B03			10		05/07/2004 01:00
PLA_B03			10		05/07/2004 02:00
PLA_B03			10		05/07/2004 03:00
PLA_B03			10		05/07/2004 04:00
PLA_B03			9		05/07/2004 05:00
PLA_B03			9		05/07/2004 06:00
PLA_B03			9		05/07/2004 07:00
PLA_B03			9		05/07/2004 08:00
PLA_B03			9		05/07/2004 09:00
PLA_B03			9		05/07/2004 10:00
PLA_B03			9		05/07/2004 11:00
PLA_B03			9		05/07/2004 12:00
PLA_B03			10		05/07/2004 13:00
PLA_B03			9		05/07/2004 14:00
PLA_B03			9		05/07/2004 15:00
PLA_B03			9		05/07/2004 16:00
PLA_B03			10		05/07/2004 17:00
PLA_B03			9		05/07/2004 18:00
PLA_B03			10		05/07/2004 19:00
PLA_B03			11		05/07/2004 20:00
PLA_B03			11		05/07/2004 21:00
PLA_B03			10		05/07/2004 22:00
PLA_B03			10		05/07/2004 23:00
PLA_B03			10		06/07/2004 00:00
PLA_B03			10		06/07/2004 01:00
PLA_B03			10		06/07/2004 02:00
PLA_B03			10		06/07/2004 03:00
PLA_B03			10		06/07/2004 04:00
PLA_B03			10		06/07/2004 05:00
PLA_B03			10		06/07/2004 06:00
PLA_B03			10		06/07/2004 07:00
PLA_B03			14		06/07/2004 08:00
PLA_B03			17		06/07/2004 09:00
PLA_B03			19		06/07/2004 10:00
PLA_B03			21		06/07/2004 11:00
PLA_B03			21		06/07/2004 12:00
PLA_B03			21		06/07/2004 13:00
PLA_B03			21		06/07/2004 14:00
PLA_B03			22		06/07/2004 15:00
PLA_B03			21		06/07/2004 16:00
PLA_B03			18		06/07/2004 17:00
PLA_B03			17		06/07/2004 18:00
PLA_B03			16		06/07/2004 19:00
PLA_B03			14		06/07/2004 20:00
PLA_B03			12		06/07/2004 21:00
PLA_B03			12		06/07/2004 22:00
PLA_B03			11		06/07/2004 23:00
PLA_B03			11		07/07/2004 00:00
PLA_B03			11		07/07/2004 01:00
PLA_B03			10		07/07/2004 02:00
PLA_B03			11		07/07/2004 03:00
PLA_B03			11		07/07/2004 04:00
PLA_B03			11		07/07/2004 05:00
PLA_B03			10		07/07/2004 06:00
PLA_B03			9		07/07/2004 07:00
PLA_B03			13		07/07/2004 08:00
PLA_B03			17		07/07/2004 09:00
PLA_B03			20		07/07/2004 10:00
PLA_B03			20		07/07/2004 11:00
PLA_B03			20		07/07/2004 12:00
PLA_B03			20		07/07/2004 13:00
PLA_B03			20		07/07/2004 14:00
PLA_B03			22		07/07/2004 15:00
PLA_B03			21		07/07/2004 16:00
PLA_B03			19		07/07/2004 17:00
PLA_B03			17		07/07/2004 18:00
PLA_B03			17		07/07/2004 19:00
PLA_B03			14		07/07/2004 20:00
PLA_B03			12		07/07/2004 21:00
PLA_B03			12		07/07/2004 22:00
PLA_B03			11		07/07/2004 23:00
PLA_B03			11		08/07/2004 00:00
PLA_B03			11		08/07/2004 01:00
PLA_B03			11		08/07/2004 02:00
PLA_B03			11		08/07/2004 03:00
PLA_B03			11		08/07/2004 04:00
PLA_B03			11		08/07/2004 05:00
PLA_B03			11		08/07/2004 06:00
PLA_B03			10		08/07/2004 07:00
PLA_B03			14		08/07/2004 08:00
PLA_B03			16		08/07/2004 09:00
PLA_B03			19		08/07/2004 10:00
PLA_B03			20		08/07/2004 11:00
PLA_B03			19		08/07/2004 12:00
PLA_B03			20		08/07/2004 13:00
PLA_B03			20		08/07/2004 14:00
PLA_B03			20		08/07/2004 15:00
PLA_B03			18		08/07/2004 17:00
PLA_B03			16		08/07/2004 18:00
PLA_B03			16		08/07/2004 19:00
PLA_B03			13		08/07/2004 20:00
PLA_B03			11		08/07/2004 21:00
PLA_B03			11		08/07/2004 22:00
PLA_B03			11		08/07/2004 23:00
PLA_B03			10		09/07/2004 00:00
PLA_B03			10		09/07/2004 01:00
PLA_B03			9		09/07/2004 07:00
PLA_B03			15		09/07/2004 08:00
PLA_B03			17		09/07/2004 09:00
PLA_B03			19		09/07/2004 10:00
PLA_B03			20		09/07/2004 11:00
PLA_B03			20		09/07/2004 12:00
PLA_B03			20		09/07/2004 13:00
PLA_B03			19		09/07/2004 14:00
PLA_B03			20		09/07/2004 15:00
PLA_B03			20		09/07/2004 16:00
PLA_B03			18		09/07/2004 17:00
