ELEMENTO		Valor		Fecha de Recoleccion	
--------		-----		--------------------	
PLA_B04			26		01/07/2004 01:00
PLA_B04			24		01/07/2004 02:00
PLA_B04			24		01/07/2004 03:00
PLA_B04			23		01/07/2004 04:00
PLA_B04			24		01/07/2004 05:00
PLA_B04			29		01/07/2004 06:00
PLA_B04			33		01/07/2004 07:00
PLA_B04			38		01/07/2004 09:00
PLA_B04			40		01/07/2004 10:00
PLA_B04			40		01/07/2004 11:00
PLA_B04			40		01/07/2004 12:00
PLA_B04			37		01/07/2004 13:00
PLA_B04			40		01/07/2004 14:00
PLA_B04			40		01/07/2004 15:00
PLA_B04			39		01/07/2004 16:00
PLA_B04			39		01/07/2004 17:00
PLA_B04			36		01/07/2004 18:00
PLA_B04			37		01/07/2004 19:00
PLA_B04			44		01/07/2004 20:00
PLA_B04			46		01/07/2004 21:00
PLA_B04			42		01/07/2004 22:00
PLA_B04			35		01/07/2004 23:00
PLA_B04			29		02/07/2004 00:00
PLA_B04			25		02/07/2004 01:00
PLA_B04			23		02/07/2004 02:00
PLA_B04			23		02/07/2004 03:00
PLA_B04			23		02/07/2004 04:00
PLA_B04			23		02/07/2004 05:00
PLA_B04			28		02/07/2004 06:00
PLA_B04			32		02/07/2004 07:00
PLA_B04			32		02/07/2004 08:00
PLA_B04			35		02/07/2004 09:00
PLA_B04			39		02/07/2004 10:00
PLA_B04			38		02/07/2004 11:00
PLA_B04			39		02/07/2004 12:00
PLA_B04			37		02/07/2004 13:00
PLA_B04			38		02/07/2004 14:00
PLA_B04			38		02/07/2004 15:00
PLA_B04			38		02/07/2004 16:00
PLA_B04			38		02/07/2004 17:00
PLA_B04			37		02/07/2004 18:00
PLA_B04			40		02/07/2004 19:00
PLA_B04			44		02/07/2004 20:00
PLA_B04			45		02/07/2004 21:00
PLA_B04			41		02/07/2004 22:00
PLA_B04			37		02/07/2004 23:00
PLA_B04			31		03/07/2004 00:00
PLA_B04			27		03/07/2004 01:00
PLA_B04			25		03/07/2004 02:00
PLA_B04			24		03/07/2004 03:00
PLA_B04			24		03/07/2004 04:00
PLA_B04			24		03/07/2004 05:00
PLA_B04			25		03/07/2004 06:00
PLA_B04			27		03/07/2004 07:00
PLA_B04			30		03/07/2004 08:00
PLA_B04			33		03/07/2004 09:00
PLA_B04			37		03/07/2004 10:00
PLA_B04			37		03/07/2004 11:00
PLA_B04			36		03/07/2004 12:00
PLA_B04			36		03/07/2004 13:00
PLA_B04			36		03/07/2004 14:00
PLA_B04			34		03/07/2004 15:00
PLA_B04			33		03/07/2004 16:00
PLA_B04			32		03/07/2004 17:00
PLA_B04			33		03/07/2004 18:00
PLA_B04			37		03/07/2004 19:00
PLA_B04			42		03/07/2004 20:00
PLA_B04			42		03/07/2004 21:00
PLA_B04			39		03/07/2004 22:00
PLA_B04			35		03/07/2004 23:00
PLA_B04			29		04/07/2004 00:00
PLA_B04			27		04/07/2004 01:00
PLA_B04			25		04/07/2004 02:00
PLA_B04			24		04/07/2004 03:00
PLA_B04			23		04/07/2004 04:00
PLA_B04			23		04/07/2004 05:00
PLA_B04			24		04/07/2004 06:00
PLA_B04			24		04/07/2004 07:00
PLA_B04			27		04/07/2004 08:00
PLA_B04			30		04/07/2004 09:00
PLA_B04			31		04/07/2004 10:00
PLA_B04			32		04/07/2004 11:00
PLA_B04			32		04/07/2004 12:00
PLA_B04			31		04/07/2004 13:00
PLA_B04			31		04/07/2004 14:00
PLA_B04			31		04/07/2004 15:00
PLA_B04			30		04/07/2004 16:00
PLA_B04			29		04/07/2004 17:00
PLA_B04			31		04/07/2004 18:00
PLA_B04			35		04/07/2004 19:00
PLA_B04			41		04/07/2004 20:00
PLA_B04			41		04/07/2004 21:00
PLA_B04			38		04/07/2004 22:00
PLA_B04			33		04/07/2004 23:00
PLA_B04			28		05/07/2004 00:00
PLA_B04			25		05/07/2004 01:00
PLA_B04			24		05/07/2004 02:00
PLA_B04			23		05/07/2004 03:00
PLA_B04			23		05/07/2004 04:00
PLA_B04			23		05/07/2004 05:00
PLA_B04			24		05/07/2004 06:00
PLA_B04			25		05/07/2004 07:00
PLA_B04			27		05/07/2004 08:00
PLA_B04			30		05/07/2004 09:00
PLA_B04			33		05/07/2004 10:00
PLA_B04			33		05/07/2004 11:00
PLA_B04			34		05/07/2004 12:00
PLA_B04			33		05/07/2004 13:00
PLA_B04			32		05/07/2004 14:00
PLA_B04			32		05/07/2004 15:00
PLA_B04			30		05/07/2004 16:00
PLA_B04			31		05/07/2004 17:00
PLA_B04			32		05/07/2004 18:00
PLA_B04			37		05/07/2004 19:00
PLA_B04			44		05/07/2004 20:00
PLA_B04			45		05/07/2004 21:00
PLA_B04			39		05/07/2004 22:00
PLA_B04			33		05/07/2004 23:00
PLA_B04			27		06/07/2004 00:00
PLA_B04			24		06/07/2004 01:00
PLA_B04			23		06/07/2004 02:00
PLA_B04			23		06/07/2004 03:00
PLA_B04			23		06/07/2004 04:00
PLA_B04			24		06/07/2004 05:00
PLA_B04			28		06/07/2004 06:00
PLA_B04			32		06/07/2004 07:00
PLA_B04			32		06/07/2004 08:00
PLA_B04			36		06/07/2004 09:00
PLA_B04			38		06/07/2004 10:00
PLA_B04			39		06/07/2004 11:00
PLA_B04			39		06/07/2004 12:00
PLA_B04			37		06/07/2004 13:00
PLA_B04			40		06/07/2004 14:00
PLA_B04			40		06/07/2004 15:00
PLA_B04			41		06/07/2004 16:00
PLA_B04			40		06/07/2004 17:00
PLA_B04			37		06/07/2004 18:00
PLA_B04			39		06/07/2004 19:00
PLA_B04			47		06/07/2004 20:00
PLA_B04			46		06/07/2004 21:00
PLA_B04			41		06/07/2004 22:00
PLA_B04			35		06/07/2004 23:00
PLA_B04			29		07/07/2004 00:00
PLA_B04			25		07/07/2004 01:00
PLA_B04			23		07/07/2004 02:00
PLA_B04			23		07/07/2004 03:00
PLA_B04			23		07/07/2004 04:00
PLA_B04			24		07/07/2004 05:00
PLA_B04			28		07/07/2004 06:00
PLA_B04			32		07/07/2004 07:00
PLA_B04			34		07/07/2004 08:00
PLA_B04			38		07/07/2004 09:00
PLA_B04			41		07/07/2004 10:00
PLA_B04			43		07/07/2004 11:00
PLA_B04			41		07/07/2004 12:00
PLA_B04			38		07/07/2004 13:00
PLA_B04			43		07/07/2004 14:00
PLA_B04			41		07/07/2004 15:00
PLA_B04			42		07/07/2004 16:00
PLA_B04			42		07/07/2004 17:00
PLA_B04			38		07/07/2004 18:00
PLA_B04			41		07/07/2004 19:00
PLA_B04			48		07/07/2004 20:00
PLA_B04			47		07/07/2004 21:00
PLA_B04			43		07/07/2004 22:00
PLA_B04			36		07/07/2004 23:00
PLA_B04			29		08/07/2004 00:00
PLA_B04			25		08/07/2004 01:00
PLA_B04			24		08/07/2004 02:00
PLA_B04			24		08/07/2004 03:00
PLA_B04			23		08/07/2004 04:00
PLA_B04			24		08/07/2004 05:00
PLA_B04			29		08/07/2004 06:00
PLA_B04			33		08/07/2004 07:00
PLA_B04			35		08/07/2004 08:00
PLA_B04			38		08/07/2004 09:00
PLA_B04			41		08/07/2004 10:00
PLA_B04			40		08/07/2004 11:00
PLA_B04			39		08/07/2004 12:00
PLA_B04			37		08/07/2004 13:00
PLA_B04			41		08/07/2004 14:00
PLA_B04			40		08/07/2004 15:00
PLA_B04			42		08/07/2004 16:00
PLA_B04			40		08/07/2004 17:00
PLA_B04			38		08/07/2004 18:00
PLA_B04			38		08/07/2004 19:00
PLA_B04			45		08/07/2004 20:00
PLA_B04			45		08/07/2004 21:00
PLA_B04			41		08/07/2004 22:00
PLA_B04			34		08/07/2004 23:00
PLA_B04			28		09/07/2004 00:00
PLA_B04			25		09/07/2004 01:00
PLA_B04			31		09/07/2004 07:00
PLA_B04			35		09/07/2004 08:00
PLA_B04			37		09/07/2004 09:00
PLA_B04			39		09/07/2004 10:00
